ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,quarterly,quarterly_lower,quarterly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,Year,Month,Week
1/4/2026,98173.79765,84208.04597,93880.56165,95546.9955,100946.1444,-0.010094197,-0.010094197,-0.010094197,-0.092202706,-0.092202706,-0.092202706,-0.023849342,-0.023849342,-0.023849342,-0.058259168,-0.058259168,-0.058259168,0,0,0,89121.90783,2026,1,1
1/11/2026,98231.22575,79545.33063,88531.1023,95532.53299,101095.9037,-0.038658494,-0.038658494,-0.038658494,-0.143685603,-0.143685603,-0.143685603,-0.047398734,-0.047398734,-0.047398734,-0.057628375,-0.057628375,-0.057628375,0,0,0,84116.81287,2026,1,2
1/18/2026,98288.65385,83716.64704,93044.01859,95523.85025,101232.7029,0.048625056,0.048625056,0.048625056,-0.100212915,-0.100212915,-0.100212915,-0.044385687,-0.044385687,-0.044385687,-0.104452284,-0.104452284,-0.104452284,0,0,0,88438.86136,2026,1,3
1/25/2026,98346.08194,86185.7626,95722.86546,95522.65588,101354.7053,-0.013171094,-0.013171094,-0.013171094,-0.074096973,-0.074096973,-0.074096973,0.080602353,0.080602353,0.080602353,-0.141528232,-0.141528232,-0.141528232,0,0,0,91058.93493,2026,1,4
2/1/2026,98403.51004,83819.90717,93461.90339,95521.67632,101485.1481,0.021242533,0.021242533,0.021242533,-0.098698052,-0.098698052,-0.098698052,-0.003429831,-0.003429831,-0.003429831,-0.116510754,-0.116510754,-0.116510754,0,0,0,88691.27524,2026,2,5
2/8/2026,98460.93814,90535.88637,100839.6488,95493.89763,101618.9001,-0.042527909,-0.042527909,-0.042527909,-0.029949452,-0.029949452,-0.029949452,0.048640473,0.048640473,0.048640473,-0.036062016,-0.036062016,-0.036062016,0,0,0,95512.08696,2026,2,6
2/15/2026,98518.36623,85769.78246,96224.56641,95471.73891,101763.4417,0.01754397,0.01754397,0.01754397,-0.075986505,-0.075986505,-0.075986505,-0.132079711,-0.132079711,-0.132079711,0.038549236,0.038549236,0.038549236,0,0,0,91032.29991,2026,2,7
2/22/2026,98575.79433,93332.75564,104204.4557,95409.46422,101877.6377,0.020573755,0.020573755,0.020573755,0.002114266,0.002114266,0.002114266,-0.066938834,-0.066938834,-0.066938834,0.048479345,0.048479345,0.048479345,0,0,0,98784.20982,2026,2,8
3/1/2026,98633.22243,94026.532,104543.4236,95374.32333,101992.71,0.025286021,0.025286021,0.025286021,0.002248167,0.002248167,0.002248167,-0.013669919,-0.013669919,-0.013669919,-0.009367935,-0.009367935,-0.009367935,0,0,0,98854.96642,2026,3,9
3/8/2026,98690.65052,94030.1544,104107.5513,95374.965,102110.2871,-0.030265307,-0.030265307,-0.030265307,0.003487835,0.003487835,0.003487835,0.115384345,0.115384345,0.115384345,-0.081631203,-0.081631203,-0.081631203,0,0,0,99034.86722,2026,3,10
3/15/2026,98748.07862,88438.6228,98588.58985,95383.48539,102254.9302,-0.028874055,-0.028874055,-0.028874055,-0.052219369,-0.052219369,-0.052219369,0.08342317,0.08342317,0.08342317,-0.106768484,-0.106768484,-0.106768484,0,0,0,93591.51626,2026,3,11
3/22/2026,98805.50672,98328.4425,108557.3199,95379.28641,102377.3819,0.038231082,0.038231082,0.038231082,0.043690554,0.043690554,0.043690554,0.07115366,0.07115366,0.07115366,-0.065694189,-0.065694189,-0.065694189,0,0,0,103122.3741,2026,3,12
3/29/2026,98862.93481,86631.89758,97346.89422,95369.31748,102497.4614,-0.015027636,-0.015027636,-0.015027636,-0.071474268,-0.071474268,-0.071474268,-0.064137105,-0.064137105,-0.064137105,0.007690473,0.007690473,0.007690473,0,0,0,91796.7789,2026,3,13
4/5/2026,98920.36291,96560.11299,107404.8813,95319.5991,102633.1049,-0.004321656,-0.004321656,-0.004321656,0.028897876,0.028897876,0.028897876,-0.025877877,-0.025877877,-0.025877877,0.059097409,0.059097409,0.059097409,0,0,0,101778.9513,2026,4,14
4/12/2026,98977.79101,90953.25022,101554.8393,95275.17508,102783.4801,-0.039625102,-0.039625102,-0.039625102,-0.029572275,-0.029572275,-0.029572275,-0.048018883,-0.048018883,-0.048018883,0.058071709,0.058071709,0.058071709,0,0,0,96050.7925,2026,4,15
4/19/2026,99035.2191,95743.36844,106872.6806,95227.95412,102961.624,0.047380651,0.047380651,0.047380651,0.022401953,0.022401953,0.022401953,-0.043865065,-0.043865065,-0.043865065,0.018886366,0.018886366,0.018886366,0,0,0,101253.8014,2026,4,16
4/26/2026,99092.6472,99094.9127,110566.1772,95244.81899,103082.5931,-0.006516851,-0.006516851,-0.006516851,0.055256396,0.055256396,0.055256396,0.076249706,0.076249706,0.076249706,-0.014476459,-0.014476459,-0.014476459,0,0,0,104568.1497,2026,4,17
5/3/2026,99150.0753,94948.24314,106927.8827,95218.23264,103232.2317,0.026512954,0.026512954,0.026512954,0.02004843,0.02004843,0.02004843,-0.001225958,-0.001225958,-0.001225958,-0.005238567,-0.005238567,-0.005238567,0,0,0,101137.8786,2026,5,18
5/10/2026,99207.50339,98966.13483,110980.9487,95185.37079,103378.9202,-0.041956228,-0.041956228,-0.041956228,0.055527656,0.055527656,0.055527656,0.052019713,0.052019713,0.052019713,0.045464172,0.045464172,0.045464172,0,0,0,104716.2636,2026,5,19
5/17/2026,99264.93149,90668.28846,102536.3038,95221.58484,103520.3787,0.00628981,0.00628981,0.00628981,-0.027614828,-0.027614828,-0.027614828,-0.131629782,-0.131629782,-0.131629782,0.097725145,0.097725145,0.097725145,0,0,0,96523.74751,2026,5,20
5/24/2026,99322.35959,99709.47169,111275.4026,95188.31424,103688.2702,0.024962317,0.024962317,0.024962317,0.062774717,0.062774717,0.062774717,-0.066797345,-0.066797345,-0.066797345,0.104609745,0.104609745,0.104609745,0,0,0,105557.2926,2026,5,21
5/31/2026,99379.78768,98079.62695,110593.3758,95155.04365,103871.7311,0.018362561,0.018362561,0.018362561,0.052566416,0.052566416,0.052566416,-0.01885729,-0.01885729,-0.01885729,0.053061145,0.053061145,0.053061145,0,0,0,104603.8269,2026,5,22
6/7/2026,99437.21578,99993.7499,112291.3567,95119.86203,104025.6167,-0.02563586,-0.02563586,-0.02563586,0.065532492,0.065532492,0.065532492,0.112108552,0.112108552,0.112108552,-0.0209402,-0.0209402,-0.0209402,0,0,0,105953.5843,2026,6,23
6/14/2026,99494.64387,92893.065,105583.2883,95082.89901,104180.1508,-0.033135641,-0.033135641,-0.033135641,-0.004801914,-0.004801914,-0.004801914,0.088126486,0.088126486,0.088126486,-0.059792759,-0.059792759,-0.059792759,0,0,0,99016.87913,2026,6,24
6/21/2026,99552.07197,100646.3063,114063.8531,95045.35614,104334.7991,0.041792777,0.041792777,0.041792777,0.077791014,0.077791014,0.077791014,0.069488216,0.069488216,0.069488216,-0.033489979,-0.033489979,-0.033489979,0,0,0,107296.3286,2026,6,25
6/28/2026,99609.50007,89024.04215,101841.6133,95005.99288,104481.074,-0.01917833,-0.01917833,-0.01917833,-0.043924084,-0.043924084,-0.043924084,-0.058162237,-0.058162237,-0.058162237,0.033416483,0.033416483,0.033416483,0,0,0,95234.24399,2026,6,26
7/5/2026,99666.92816,99015.218,112187.0057,94963.78741,104698.9666,0.001850158,0.001850158,0.001850158,0.057165092,0.057165092,0.057165092,-0.028330202,-0.028330202,-0.028330202,0.083645136,0.083645136,0.083645136,0,0,0,105364.3972,2026,7,27
7/12/2026,99724.35626,92462.90227,105109.7258,94921.58195,104865.8739,-0.040607172,-0.040607172,-0.040607172,-0.010336322,-0.010336322,-0.010336322,-0.04841669,-0.04841669,-0.04841669,0.07868754,0.07868754,0.07868754,0,0,0,98693.57317,2026,7,28
7/19/2026,99781.78436,96579.64335,109760.2743,94874.701,105006.645,0.043512968,0.043512968,0.043512968,0.031948925,0.031948925,0.031948925,-0.043117013,-0.043117013,-0.043117013,0.031552969,0.031552969,0.031552969,0,0,0,102969.7051,2026,7,29
7/26/2026,99839.21245,99805.43527,112666.2592,94835.44878,105203.2574,0.000986389,0.000986389,0.000986389,0.062751582,0.062751582,0.062751582,0.07130252,0.07130252,0.07130252,-0.009537328,-0.009537328,-0.009537328,0,0,0,106104.281,2026,7,30
8/2/2026,99896.64055,95384.21834,109192.6745,94787.68245,105360.3483,0.030078215,0.030078215,0.030078215,0.023129812,0.023129812,0.023129812,0.001652001,0.001652001,0.001652001,-0.008600404,-0.008600404,-0.008600404,0,0,0,102207.2311,2026,8,31
8/9/2026,99954.06865,97320.65466,111305.3837,94744.76893,105520.7433,-0.040413356,-0.040413356,-0.040413356,0.040559445,0.040559445,0.040559445,0.054548416,0.054548416,0.054548416,0.026424384,0.026424384,0.026424384,0,0,0,104008.1502,2026,8,32
8/16/2026,100011.4967,86044.15898,98406.36281,94666.11186,105654.8201,-0.004703239,-0.004703239,-0.004703239,-0.079244691,-0.079244691,-0.079244691,-0.130443704,-0.130443704,-0.130443704,0.055902251,0.055902251,0.055902251,0,0,0,92086.11657,2026,8,33
8/23/2026,100068.9248,94134.33533,108409.8749,94659.58191,105802.7325,0.028515422,0.028515422,0.028515422,0.009959363,0.009959363,0.009959363,-0.066859694,-0.066859694,-0.066859694,0.048303635,0.048303635,0.048303635,0,0,0,101065.5476,2026,8,34
8/30/2026,100126.3529,92895.78557,106229.0025,94650.10945,105970.6993,0.009721722,0.009721722,0.009721722,-0.006485432,-0.006485432,-0.006485432,-0.023924673,-0.023924673,-0.023924673,0.007717519,0.007717519,0.007717519,0,0,0,99476.99027,2026,8,35
9/6/2026,100183.781,99025.57076,112768.4887,94641.84832,106146.7708,-0.020697881,-0.020697881,-0.020697881,0.054852908,0.054852908,0.054852908,0.108676519,0.108676519,0.108676519,-0.03312573,-0.03312573,-0.03312573,0,0,0,105679.1527,2026,9,36
9/13/2026,100241.2091,94865.46368,109306.2773,94633.24623,106306.7816,-0.035853811,-0.035853811,-0.035853811,0.015147477,0.015147477,0.015147477,0.092840059,0.092840059,0.092840059,-0.041838771,-0.041838771,-0.041838771,0,0,0,101759.6105,2026,9,37
9/20/2026,100298.6372,103771.1175,118309.7804,94594.91038,106449.6685,0.04514263,0.04514263,0.04514263,0.102964033,0.102964033,0.102964033,0.06752461,0.06752461,0.06752461,-0.009703208,-0.009703208,-0.009703208,0,0,0,110625.7894,2026,9,38
9/27/2026,100356.0653,90815.40678,104647.6263,94565.4549,106587.7192,-0.020159748,-0.020159748,-0.020159748,-0.026387893,-0.026387893,-0.026387893,-0.051674702,-0.051674702,-0.051674702,0.045446557,0.045446557,0.045446557,0,0,0,97707.8802,2026,9,39
10/4/2026,100413.4934,99700.65182,115169.4529,94543.81454,106765.5359,0.008365485,0.008365485,0.008365485,0.069373159,0.069373159,0.069373159,-0.031182851,-0.031182851,-0.031182851,0.092190525,0.092190525,0.092190525,0,0,0,107379.4946,2026,10,40
10/11/2026,100470.9215,94158.84108,109204.5582,94507.53375,106954.4597,-0.041569661,-0.041569661,-0.041569661,0.0135361,0.0135361,0.0135361,-0.048571191,-0.048571191,-0.048571191,0.103676952,0.103676952,0.103676952,0,0,0,101830.906,2026,10,41
10/18/2026,100528.3496,99610.6207,115237.7148,94439.62739,107136.9706,0.036964471,0.036964471,0.036964471,0.068673679,0.068673679,0.068673679,-0.042195006,-0.042195006,-0.042195006,0.073904214,0.073904214,0.073904214,0,0,0,107432.0012,2026,10,42
10/25/2026,100585.7777,102704.278,118544.7909,94419.0173,107261.224,0.00841028,0.00841028,0.00841028,0.099247724,0.099247724,0.099247724,0.065825144,0.065825144,0.065825144,0.0250123,0.0250123,0.0250123,0,0,0,110568.6872,2026,10,43
11/1/2026,100643.2058,96286.58949,111943.5552,94386.48942,107425.7085,0.031287839,0.031287839,0.031287839,0.032580158,0.032580158,0.032580158,0.00516571,0.00516571,0.00516571,-0.003873391,-0.003873391,-0.003873391,0,0,0,103922.1773,2026,11,44
11/8/2026,100700.6339,96232.84258,112556.7766,94344.51998,107589.8199,-0.037864458,-0.037864458,-0.037864458,0.031911148,0.031911148,0.031911148,0.056224116,0.056224116,0.056224116,0.01355149,0.01355149,0.01355149,0,0,0,103914.1067,2026,11,45
11/15/2026,100758.062,85847.33924,100056.2856,94297.1832,107767.7482,-0.014571502,-0.014571502,-0.014571502,-0.080003493,-0.080003493,-0.080003493,-0.128496901,-0.128496901,-0.128496901,0.063064909,0.063064909,0.063064909,0,0,0,92697.06505,2026,11,46
11/22/2026,100815.4901,98870.58067,114877.3537,94249.44488,107978.2692,0.031669888,0.031669888,0.031669888,0.05842559,0.05842559,0.05842559,-0.067163092,-0.067163092,-0.067163092,0.093918794,0.093918794,0.093918794,0,0,0,106705.6946,2026,11,47
11/29/2026,100872.9182,95751.30882,112758.7886,94194.10156,108082.1926,0.000459999,0.000459999,0.000459999,0.032155535,0.032155535,0.032155535,-0.02884317,-0.02884317,-0.02884317,0.060538707,0.060538707,0.060538707,0,0,0,104116.5409,2026,11,48
12/6/2026,100930.3463,98365.83421,115621.1963,94140.73571,108252.3503,-0.015525783,-0.015525783,-0.015525783,0.05753941,0.05753941,0.05753941,0.10510412,0.10510412,0.10510412,-0.032038927,-0.032038927,-0.032038927,0,0,0,106737.8189,2026,12,49
12/13/2026,100987.7744,87183.29689,102440.2354,94088.81399,108412.5051,-0.037527713,-0.037527713,-0.037527713,-0.065491958,-0.065491958,-0.065491958,0.097509359,0.097509359,0.097509359,-0.125473604,-0.125473604,-0.125473604,0,0,0,94373.88728,2026,12,50
12/20/2026,101045.2025,88244.26655,104712.9051,94031.85877,108565.8933,0.047661283,0.047661283,0.047661283,-0.044658652,-0.044658652,-0.044658652,0.065331166,0.065331166,0.065331166,-0.157651102,-0.157651102,-0.157651102,0,0,0,96532.65991,2026,12,51
12/27/2026,101102.6306,75743.77422,89871.94715,93974.76561,108765.5702,-0.017994793,-0.017994793,-0.017994793,-0.182662509,-0.182662509,-0.182662509,-0.044739283,-0.044739283,-0.044739283,-0.119928433,-0.119928433,-0.119928433,0,0,0,82634.97046,2026,12,52
1/3/2027,101160.0587,84608.59918,100907.1366,93917.67245,108958.2095,0.014981756,0.014981756,0.014981756,-0.084128756,-0.084128756,-0.084128756,-0.034404038,-0.034404038,-0.034404038,-0.064706474,-0.064706474,-0.064706474,0,0,0,92649.58882,2027,1,53
1/10/2027,101217.4868,79211.08036,94594.40206,93862.63611,109048.1764,-0.042306856,-0.042306856,-0.042306856,-0.144016787,-0.144016787,-0.144016787,-0.048467054,-0.048467054,-0.048467054,-0.053242877,-0.053242877,-0.053242877,0,0,0,86640.46952,2027,1,1
1/17/2027,101274.9149,82091.95994,98799.1468,93818.52174,109261.8097,0.028076732,0.028076732,0.028076732,-0.107882764,-0.107882764,-0.107882764,-0.041152637,-0.041152637,-0.041152637,-0.094806859,-0.094806859,-0.094806859,0,0,0,90349.09711,2027,1,2
1/24/2027,101332.343,86674.15034,103653.0202,93767.61131,109477.8135,0.015057919,0.015057919,0.015057919,-0.063590403,-0.063590403,-0.063590403,0.059888421,0.059888421,0.059888421,-0.138536744,-0.138536744,-0.138536744,0,0,0,94888.5784,2027,1,3
1/31/2027,101389.7711,84997.39538,101313.7628,93746.59896,109685.6326,0.029714118,0.029714118,0.029714118,-0.08718736,-0.08718736,-0.08718736,0.009265717,0.009265717,0.009265717,-0.126167195,-0.126167195,-0.126167195,0,0,0,92549.86458,2027,1,4
2/7/2027,101447.1992,90218.75618,106947.1858,93766.92291,109901.3221,-0.034415253,-0.034415253,-0.034415253,-0.029490175,-0.029490175,-0.029490175,0.05705702,0.05705702,0.05705702,-0.052131942,-0.052131942,-0.052131942,0,0,0,98455.5035,2027,2,5
2/14/2027,101504.6273,81138.5621,97670.7341,93779.00918,110110.4285,-0.022714405,-0.022714405,-0.022714405,-0.119682107,-0.119682107,-0.119682107,-0.125774846,-0.125774846,-0.125774846,0.028807144,0.028807144,0.028807144,0,0,0,89356.33958,2027,2,6
2/21/2027,101562.0554,94351.85402,113214.6881,93797.72769,110300.4041,0.034834404,0.034834404,0.034834404,0.019590215,0.019590215,0.019590215,-0.06774016,-0.06774016,-0.06774016,0.052495971,0.052495971,0.052495971,0,0,0,103551.6778,2027,2,7
2/28/2027,101619.4834,89178.08471,107247.4303,93763.98755,110498.7752,-0.008181174,-0.008181174,-0.008181174,-0.037749833,-0.037749833,-0.037749833,-0.033583856,-0.033583856,-0.033583856,0.004015197,0.004015197,0.004015197,0,0,0,97783.36495,2027,2,8
3/7/2027,101676.9115,94755.65715,113206.8005,93711.7989,110677.9452,-0.010094197,-0.010094197,-0.010094197,0.020558825,0.020558825,0.020558825,0.101405015,0.101405015,0.101405015,-0.070751993,-0.070751993,-0.070751993,0,0,0,103767.2694,2027,3,9
3/14/2027,101734.3396,88388.38429,107015.4684,93627.05441,110879.9597,-0.038658494,-0.038658494,-0.038658494,-0.043937045,-0.043937045,-0.043937045,0.102081392,0.102081392,0.102081392,-0.107359942,-0.107359942,-0.107359942,0,0,0,97264.43342,2027,3,10
3/21/2027,101791.7677,95841.0206,115090.9444,93544.59267,111071.2701,0.048625056,0.048625056,0.048625056,0.03469293,0.03469293,0.03469293,0.062978336,0.062978336,0.062978336,-0.076910461,-0.076910461,-0.076910461,0,0,0,105323.2225,2027,3,11
3/28/2027,101849.1958,87424.97637,105554.5681,93460.30192,111228.5087,-0.013171094,-0.013171094,-0.013171094,-0.055875774,-0.055875774,-0.055875774,-0.037427039,-0.037427039,-0.037427039,-0.005277641,-0.005277641,-0.005277641,0,0,0,96158.29319,2027,3,12
4/4/2027,101906.6239,96226.28385,116742.9701,93371.25219,111368.9512,0.021242533,0.021242533,0.021242533,0.036739982,0.036739982,0.036739982,-0.037954003,-0.037954003,-0.037954003,0.053451453,0.053451453,0.053451453,0,0,0,105650.6715,2027,4,13
4/11/2027,101964.052,89618.35837,109473.1234,93315.90247,111484.2263,-0.042527909,-0.042527909,-0.042527909,-0.028593564,-0.028593564,-0.028593564,-0.048095047,-0.048095047,-0.048095047,0.062029392,0.062029392,0.062029392,0,0,0,99048.53639,2027,4,14
